"Instruction","Strategy"
"Pattern","Other"
"Pattern","Other"
"Pattern","Other"
"Cue","TTBC"
"Cue","TTBC"
"Cue","Other"
"Pattern","Other"
"Cue","TTBC"
"Cue","Other"
"Cue","TTBC"
"Cue","Other"
"Pattern","TTBC"
"Pattern","Other"
"Pattern","Other"
"Pattern","TTBC"
"Cue","Guess"
"Cue","Other"
"Cue","TTBC"
"Cue","Other"
"Pattern","Guess"
"Pattern","Guess"
"Pattern","Guess"
"Pattern","Other"
"Cue","TTBC"
"Cue","TTBC"
"Pattern","Other"
"Pattern","Guess"
"Pattern","Other"
"Pattern","Guess"
"Cue","Guess"
"Cue","Guess"
"Cue","TTBC"
"Cue","TTBC"
"Pattern","Other"
"Pattern","Other"
"Pattern","Guess"
"Cue","Other"
"Cue","TTBC"
"Cue","TTBC"
"Cue","TTBC"
"Pattern","TTBC"
"Pattern","Guess"
"Pattern","Guess"
"Pattern","TTBC"
"Cue","Guess"
"Cue","TTBC"
"Cue","Guess"
"Pattern","Guess"
