"ph1","ph2","ph3","ph4","COW","PHASE","BPM"
124,124,109,107,1,1,124
100,98,98,99,2,1,100
103,98,100,106,3,1,103
94,91,98,95,4,1,94
122,109,114,115,5,1,122
103,92,100,106,6,1,103
98,80,99,103,7,1,98
120,84,107,110,8,1,120
,,,,1,2,124
,,,,2,2,98
,,,,3,2,98
,,,,4,2,91
,,,,5,2,109
,,,,6,2,92
,,,,7,2,80
,,,,8,2,84
,,,,1,3,109
,,,,2,3,98
,,,,3,3,100
,,,,4,3,98
,,,,5,3,114
,,,,6,3,100
,,,,7,3,99
,,,,8,3,107
,,,,1,4,107
,,,,2,4,99
,,,,3,4,106
,,,,4,4,95
,,,,5,4,115
,,,,6,4,106
,,,,7,4,103
,,,,8,4,110
