"CLUB","BRAND","DISTANCE"
"DRIVER","E",238.6
"DRIVER","E",241.9
"DRIVER","E",236.6
"DRIVER","E",244.9
"DRIVER","F",261.4
"DRIVER","F",261.3
"DRIVER","F",254
"DRIVER","F",259.9
"DRIVER","G",264.7
"DRIVER","G",262.9
"DRIVER","G",253.5
"DRIVER","G",255.6
"DRIVER","H",235.4
"DRIVER","H",239.8
"DRIVER","H",236.2
"DRIVER","H",237.5
"5IRON","E",165.2
"5IRON","E",156.9
"5IRON","E",172.2
"5IRON","E",163.2
"5IRON","F",179.2
"5IRON","F",171
"5IRON","F",178
"5IRON","F",182.7
"5IRON","G",189
"5IRON","G",191.2
"5IRON","G",191.3
"5IRON","G",180.5
"5IRON","H",171.4
"5IRON","H",159.3
"5IRON","H",156.6
"5IRON","H",157.4
