"MONTH","NEWPI","CUM6ADV"
7,11,41632.74
8,7,38227.39
9,13,39779.77
10,7,37490.22
11,9,52225.71
12,8,56249.15
13,18,59938.03
14,9,65250.59
15,25,66071.85
16,26,81765.94
17,27,66895.46
18,12,71426.16
19,14,75346.4
20,5,81589.97
21,22,78828.68
22,15,78415.73
23,12,90802.77
24,18,95689.44
25,20,83099.55
26,38,82703.75
27,13,90484.38
28,18,102084.54
29,21,84976.99
30,7,95314.29
31,16,115858.28
32,12,108557
33,15,127693.57
34,18,122761.67
35,30,123545.67
36,12,119388.26
37,30,134675.68
38,20,133812.93
39,19,142417.13
40,29,149956.61
41,58,165204.46
42,42,156725.72
43,24,146397.56
44,47,197792.64
45,24,198460.28
46,14,206662.87
47,31,253011.27
48,26,249496.28
