"VICTIM","JAILDAYS","MARRIED","RACE","MURDER","TIME","YEAR"
1,3,"M","W","Y","N",72
2,4,"S","W","Y","N",87
3,5,"S","NW","Y","A",75
4,7,"W","NW","Y","N",81
5,10,"S","NW","Y","A",82
6,15,"M","NW","Y","N",70
7,15,"D","NW","Y","N",85
8,19,"M","NW","Y","D",80
9,22,"S","NW","Y","N",83
10,29,"M","W","Y","N",81
11,31,"S","NW","Y","N",70
12,85,"S","NW","Y","A",85
13,126,"M","NW","Y","N",81
14,221,"D","W","Y","N",70
15,14,"S","NW","N","N",80
16,22,"S","W","N","A",70
17,42,"S","W","N","D",76
18,122,"S","NW","N","N",83
19,309,"M","NW","N","N",70
20,69,"M","NW","N","N",79
21,143,"S","NW","N","N",85
22,6,"M","NW","N","N",71
23,1,"S","NW","N","D",68
24,1,"S","NW","N","N",73
25,1,"S","W","N","N",89
26,2,"S","W","N","D",87
27,3,"S","NW","N","N",85
28,4,"M","W","N","A",69
29,4,"S","W","N","A",74
30,4,"S","NW","N","N",80
31,6,"S","W","N","D",68
32,6,"M","NW","N","N",75
33,10,"S","W","N","N",67
34,18,"S","NW","N","N",79
35,26,"M","W","N","N",76
36,41,"S","NW","N","N",85
37,86,"M","W","N","N",68
