"CLASS","RATING","PLAYERS"
"Senior Master","2800 to 2899",1
"Senior Master","2700 to 2799",13
"Senior Master","2600 to 2699",66
"Senior Master","2500 to 2599",87
"Senior Master","2400 to 2499",133
"Master","2300 to 2399",231
"Master","2200 to 2299",691
"Expert","2100 to 2199",783
"Expert","2000 to 2099",1516
"Class A","1900 to 1999",1907
"Class A","1800 to 1899",2682
"Class B","1700 to 1799",3026
"Class B","1600 to 1699",3437
"Class C","1500 to 1599",3582
"Class C","1400 to 1499",3386
"Class D","1300 to 1399",3139
"Class D","1200 to 1299",3153
"Class E","1100 to 1199",2973
"Class E","1000 to 1099",3021
"Class F","900 to 999",3338
"Class F","800 to 899",3520
"Class G","700 to 799",3829
"Class G","600 to 699",3946
"Class H","500 to 599",3783
"Class H","400 to 499",3544
"Class I","300 to 399",3142
"Class I","200 to 299",2547
"Class J","0 to 199",3979
